Name,UID,JobUID,AssignedAgentUID,Status,DueDate,Created
Pre-inspection call,TASK0001,JOB0001,AGT002,Open,,2025-11-01T19:50:46.428116Z
Schedule site visit,TASK0002,JOB0002,AGT003,Open,,2025-11-01T19:50:46.428116Z
Collect materials,TASK0003,JOB0003,AGT004,Open,,2025-11-01T19:50:46.428116Z
On-site safety setup,TASK0004,JOB0004,AGT001,Completed,,2025-11-01T19:50:46.428116Z
Execute repair,TASK0005,JOB0005,AGT002,Open,,2025-11-01T19:50:46.428116Z
Quality check,TASK0006,JOB0006,AGT003,Open,,2025-11-01T19:50:46.428116Z
Upload photos,TASK0007,JOB0007,AGT004,Open,,2025-11-01T19:50:46.428116Z
Invoice client,TASK0008,JOB0008,AGT001,Completed,,2025-11-01T19:50:46.428116Z
Follow-up call,TASK0009,JOB0001,AGT002,Open,,2025-11-01T19:50:46.428116Z
Close job,TASK0010,JOB0002,AGT003,Open,,2025-11-01T19:50:46.428116Z
Archive documentation,TASK0011,JOB0003,AGT004,Open,,2025-11-01T19:50:46.428116Z
Warranty follow-up,TASK0012,JOB0004,AGT001,Completed,,2025-11-01T19:50:46.428116Z
