Name,UID,Category,DefaultLeadTimeDays,Notes
Roof Inspection,SVC001,Roofing Service,7,
Leak Detection & Repair,SVC002,Roofing Service,14,
Tile Replacement,SVC003,Roofing Service,14,
Roof Restoration,SVC004,Roofing Service,14,
Re-roofing (Tiles),SVC005,Roofing Service,14,
Re-roofing (Metal),SVC006,Roofing Service,14,
Gutter Cleaning & Repair,SVC007,Roofing Service,7,
Skylight Installation/Repair,SVC008,Roofing Service,14,
Flashing & Valley Repair,SVC009,Roofing Service,14,
Roof Maintenance Plan,SVC010,Roofing Service,14,
Solar Ready Roof Prep,SVC011,Roofing Service,14,
Fascia & Soffit Repair,SVC012,Roofing Service,14,
